District Name,Dates Closed,School Meal Alternative,When & Where Meals Are Available,
Natalia ISD,March 17-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast & Lunch 10:00 AM – 1:00 PM 
Where: Jr High, Fire Department, Natalia ISD Transportation, Community Center Great Oaks, Mail Delivery turnaround at Forest Woods
Details: Breakfast and Lunch kits will be provided to vehicles at the distribution sites. Kits will be one per Natalia ISD student. Each car will need to provide name and grade of each student.
",https://www.nataliaisd.net/
Needville ISD,March 16-20,Pending,,
New Caney ISD,March 16- April 17,Curbside Meal Pickup (Breakfast and Lunch),"Start Date: 3/16
When: 8:30 AM - 11:30 AM
Where: New Caney Elementary School (main entrance of campus) & Sorters Mill Elementary School (Side Entrance) 
Details:  No charge for children 18 and under. Adult meals are $4",https://www.newcaneyisd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=36&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=20120&PageID=1
New Castle ISD,March 16 (ONLY),,,https://www.newcastleisd.net/
New Diana,March 16-20,,,http://www.ndisd.org/
New Summerfield ISD,March 16-20,,,https://www.newsummerfieldisd.org/
New Waverly ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"**Only for families who qualify for free and reduced lunch**                                             Start Date: 3/17
When Breakfast 7:30 AM - 8:30 AM & Lunch 11:00 AM - 1:00 PM
Where: New Waverly Elementary ",https://www.new-waverly.k12.tx.us/
North East ISD,March 9-23rd,,,
North Hopkins ISD,March 16-20,,,https://www.northhopkins.net/18323?articleID=50305
Northside ISD,March 16-20,,,
Nueces Canyon ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/18
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:00 AM – 12:30 PM 
Where: NC Elementary
Details: Please call 597-8158 by 10:00 a.m. to let Ms. Cookie know you would like meals daily. 
",https://www.nccisd.net
Northwest ISD,March 16 - April 3,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: 10:00 AM - 1:00 PM
Where: Curits Elementary, Jusitn Elementary, Love Elementary, Love Elementary, Sendera Ranch Elementary, Chisholm Trail Middle School, TIdwell Middle School
Details: During the extended break, Northwest ISD will offer free meals to all students from Monday to Friday, March 16 to 27. During these days, breakfast and lunch will be served from 10 a.m. to 1 p.m. at the campuses listed below. When arriving to receive meals at the campus cafeteria doors, parents and students should remain in their vehicles as a precautionary health measure. Meals will be delivered to each vehicle.",https://www.nisdtx.org/cms/One.aspx?portalId=232201&pageId=23602050
Oakwood ISD,March 16-20,,,https://www.oakwoodisd.net/article/208879?org=oakwood
Ogelsby ISD,March 16-20,,,
Ore City ISD,March 16-20,,,https://www.ocisd.net/
Overton ISD,March 16-20,,,http://www.overtonisd.net/
Paint Rock ISD,March 16-27,Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When & Where:
Paint Rock School: 11:30 AM – 12:30 PM
Jesus Christ Church (407 S. 7th): 11:30 AM – 12:15 PM
Ridge Rock Store: 11:30 AM – 12:00 PM
Producers Park: 11:30 AM -12:30 PM
Eola Store (East side of parking lot): 11:30 AM – 12:15 PM
Dairy Queen Parking Lot (for Eden): 11:30 AM – 12:15 PM 
 Details: This week, Monday-Friday, Paint Rock ISD will have six Lunch Bag Pick-Up Stations for our registered students. Each day the bag will include breakfast, lunch and a snack. Peanut butter and jelly sandwich, carrots, fruit or fruit cup, chips or crackers, cereal or cereal bar, milk or juice. If you have any general questions, please email allison.tonne@paintrockisd.net
",http://www.paintrockisd.net
Panther Creek ISD,March 16-20,Meal Pickup (Lunch Only),"Start Date: 3/17
When: Lunch 10:30 AM – 11:30 AM Tuesday – Thursday 
Where: Not Specified
Details: Orders can be placed by 9:30 each morning by calling 325-357-4449 ext 4135.
",https://www.pcreek.net
Paris ISD,March 16-20,,,https://www.parisisd.net/
Pasadena ISD,March 16-April 10,Curbside Meals (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM - 8:30 AM & Lunch 11:00 AM - 12:30 PM
Where: J Frank Dobie High School, Sam Rayburn High School, Pasadena High School, South Houston High School, Pasadena Memorial High School
Instrucations: With the requirement to maintain a safe social distance, no meals will be available for parents or students walking up to the campus. Meals will be delivered to each vehicle, please do not park,",https://www1.pasadenaisd.org/
Pearland ISD,March 16 – April 10,Curbside Meals (Breakfast & Lunch),"Start Date: 3/17
When: 11:00 AM - 12:30 PM
Where: Carleston Elementary, Lawhon Elementary, PACE Center
Details:  On Mondays, parents will receive 6 meals per student and on Thursdays, parents will receive 4 meals per student",https://www.pearlandisd.org/
Perrin-Whitt ISD,March 16 – 20,,,https://s3.amazonaws.com/scschoolfiles/1509/covid19.pdf 
Pflugerville ISD,March 16-27,,,http://www.pfisd.net/site/Default.aspx?PageID=7656
Pine Tree ISD,March 16-27,,,http://www.ptisd.org/
Pittsburg ISD,March 16-20,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:00 AM – 12:30 PM  
Where: High School cafeteria or the Elementary/Intermediate cafeteria 
Details: Pickup at the High School: Enter from Texas Street and exit on Elm Street. Walkers should pick up their meals underneath the cafeteria awning by the picnic tables. Pick up at Intermediate: :Enter from LaFayette along the Parent Pickup route and exit on the new road at Rusk street. Food workers will be in front of the cafeteria for the grab and go delivery. If you have a child with an allergy to any food, please let the Food Service worker know at the time of pick up.
",https://www.pittsburgisd.net/
Plano ISD,March 16 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16 
When: Breakfast - 7:30 AM - 8:30 AM, Lunch - 11:00 AM -12:30PM.
Where: Armstrong Middle School, Daffron, Huffman, Meadows, Haggar, Sigler, and Thomas Elementaries. 
Details:Plano ISD is currently providing free grab-and-go breakfast and lunch meals at several locations across the district. Armstrong Middle School, 3805 Timberline Dr, Plano, TX 75074, will be added as a seventh location for free meal distribution beginning Thursday, March 19. Meals will be available for curbside pickup at the following times (adjustments to this schedule may be made as needed, so please watch for updated communications).This program serves students attending any Plano ISD school. Families can pick up meals curbside in the carpool lanes* at the campuses listed below (unless otherwise noted). Access to enter the buildings will not be available.",https://www.pisd.edu/Page/22423
Pleasonton ISD,March 16-20,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: Breakfast 8:30 AM – 10:00 AM ; Lunch 12:00 PM – 1:30 PM  
Where: Pleasanton Junior High
Details: Curbside Student Meals will be provided at Pleasanton Junior High Campus Only (regardless of campus attending). Students may pick up a free sack meal.
",https://www.pisd.us/apps/pages/index.jsp?uREC_ID=1694901&type=d&pREC_ID=1854518
Poth ISD,March 16-20,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/17
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:00 AM – 12:30 PM  
Where: Front of Poth ISD Cafeteria
Details: This will be a drive by pick up. Children must 
be present to receive the meals
",https://www.pothisd.us/
Port Arthur ISD,March 17-Indefinite,Pending,,
Poteet ISD,March 17-20,Curbside March 17-20,"Start Date: 3/23
When: Breakfast & Lunch 9:00 AM – 1:00 PM  Monday - Thursday
Where: IMS Pickup
Details: Children under the age of 18 can get breakfast, lunch or both during these times. We will provide these meals Monday through Thursday. On Thursday, all eligible children can get four meals, two breakfast, and two lunches to accommodate no service on Fridays. 
",http://ww1.poteetisd.org/district/
Prairieland ISD,March 16-20,,,https://www.prairiland.net/
Princeton ISD,March 16-20,,,
Pro-Vision Academy School,March 13-30,,,
Prosper ISD,March 16-20,,,
Rains ISD,March 16-20,,,https://www.rainsisd.org/14134_1
Ranch Academy,March 16-20,,,https://www.raschools.com/
Rankin ISD,March 16-20,Lunch Grab & Go,,
Rice ISD,March 16-20,Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast & Lunch 10:00 AM – 11:00 AM  
Where: IMS Pickup
Details: Students grades Pre-K through 12th grade will be able to pick up both meals at that time eliminating the need to make two trips.
",https://www.rice-isd.org/
Richardson ISD,March 23-Indefinite,Pending,"RISD Child Nutrition and Transportation are finalizing plans to begin Monday-Friday meal service for RISD students starting March 23. The process will utilize many existing bus routes and stops. More information will be sent to parents toward the end of Spring Break.

Parents should note that both at-home learning and meal services will occur daily based on the existing RISD school year calendar and will not occur on the scheduled student holidays of April 10 and 13.",http://www.richardson.k12.tx.us/
Richard Milburn Academy,March 16-20,,,https://www.rmaschools.org/students/services-and-resources/web-links/
Riesel ISD,March 16-20,,,https://www.rieselisd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=122&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=777&PageID=9
Robert Lee ISD,March 16-20,,,https://www.rlisd.net
Rockdale ISD,March 16-20,,,
Rocksprings ISD,March 16-20,Curbside Meal Pickup (Lunch Only),"Start Date: 3/18
When: Lunch 11:00 AM – 12:30 PM 
Where: Not specified
Details: Lunch pick up behind the cafeteria. If you live within the city limits, the meals can be delivered if you call 830-683-8125 by 9:30am. 
",https://www.rockspringsisd.net
Rockwall ISD,March 16 - April 3,"Curbside Meal Pickup
(Lunch & Snack)","Start Date: 3/16
When: 11:00 AM - 1:00 PM
Where: Dobbs and Rochell 
Details: To help our students and families, Rockwall ISD will offer a Grab 'N' Go lunch and snack free to all children 18 years old and younger and all SPED program students. To help limit social gatherings, we ask that parents/guardians and children please remain in your vehicle while we deliver meals curbside. The United States Department of Agriculutre (USDA) and Texas Department of Agriculture (TDA) has advised district that students must be present in the car to receive their meals. ",https://www.facebook.com/pg/rockwallisd/posts/?ref=page_internal
Rogers ISD,March 16-20,,,https://www.rogersisd.org/apps/news/article/1186323
Rosebud-Lott ISD,March 16-20,,,https://www.rlisd.org/apps/news/article/1184743
Round Rock ISD,March 16-April 3,Meal Pickup (Breakfast & Lunch),"Start Date: 3/23
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM 
Where:  Anderson Mill Elementary, Bluebonnet Elementary, Caldwell Heights Elementary, Callison Elementary, C.D. Fulkes Middle School, Double File Trail Elementary, Forest North Elementary, Hernandez Middle School, Joe Lee Johnson Elementary, Success High School, Union Hill Elementary, 1511 Gulf Way, Round Rock
Details: Meals will be provided Monday through Friday and children must be present to receive a meal. Meals will be distributed to children under the age of 19. 
",https://roundrockisd.org/coronavirus/
Royal ISD,March 16 -April 10,Curbside Meals (Breakfast & Lunch),"Start Date: 3/17
When: 9:30 AM - 12:30 PM Monday-Thursday 
Where: Behind Royal High School
Details:  Can pick up breakfast and lunch in one trip. On Thursday breakfast and lunch will be provided for both Thursday and Friday. Closed on Friday. Student must be in vehicle to receive meal",https://www.royal-isd.net/article/211605?org=royal-isd
Royse City ISD,March 16-20,,,
Rusk ISD,March 16-20,,,https://www.ruskisd.net/
S & S CISD,March 16 - April 3,"Meal Pickup 
(Breakfast & Lunch)","Start Date: 3/16
When: Monday - Thursday 11:00 AM - 12:00 PM
Where: Elementary, Middle School
Details: As we enter our 2nd full week of the Covid-19 school closure we plan to continue our “grab and go” breakfast and lunch distribution with a couple of small modifications. Our plan is to pass out multiple meals that will include lunches and breakfasts each Monday and Thursday from 11:00 AM to 12:00 PM at the elementary (located at student drop off area) and the middle school (located at student drop off area). These meals are available to all S&S Pre-k through 12th grade students free of charge. Meals can be picked up at either location regardless of the campus your child attends. Please stay in your vehicle and the meals will be brought out to you in a quick and safe manner.
Meals may be picked up for students living near you (for those without transportation) by simply providing the student or students’ names.
If you are in need of meals but find yourself unable to access them please contact the administration office at 903 564-6051 or send an e-mail to info@sscisd.net and we will find a way to help.",https://sscisd.net/apps/news/show_news.jsp?REC_ID=618855&id=0
Sabinal ISD,March 16-20,,,https://www.sabinalisd.net/apps/news/article/1184838
Sabine ISD,March 16-27,,,https://www.sabineisd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=3199&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=4289&PageID=1
Salado ISD,March 16-20,Food Distribution,They are providing non-perishable food through Communities in Schools. ,
San Angelo ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:00 AM – 12:00 PM 
Where:  Belaire Elementary, Bradford Elementary, Crockett Elementary, Goliad Elementary, Lee Middle School
",https://www.saisd.org/5051
San Antonio ISD,March 9-23,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/18
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:30 AM – 12:30 PM 
Where:  Brackenridge, Burbank, Edistion, Fox Tech, Highlands, Sam Houston, Jefferson, Lanier. Middle Schools: Harris , Longfellow, Rhodes, Whittier Elementary Schools: Barkley-Ruiz, Beacon Hill, Bowden, JT Brackenridge, Douglass Academy, Gates, Graebner, Hirsch, Japhet, Maverick, Mission, M.L.King , Riverside Park, Schenck, Young Women's LEadership Academy
Details: For more information contact Child Nutrition at 210-554-2290
",https://www.saisd.net/page/article/227
San Elizario ISD,March 23-April 3,,,https://www.seisd.net/departments/health_services/coronavirus
San Marcos CISD,March 16-April 5,Meal Pickup (Breakfast & Lunch),"Start Date: 3/23
When: Breakfast 8:00 AM – 9:30 AM ; Lunch 11:30 AM – 1:00 PM 
Where:  Travis Elementary, San Marcos HS and Redwood Baptist Church (Redwood Baptist pickup is Lunch only). 
Details: Anyone 18 years old and under are free.
",
Santa Anna ISD,March 16-20,,,https://www.santaannaisd.net
Santa Fe ISD,March 16- April 10,Curbside meals - (Lunch & Breakfast),"Start Date: 3/16 
When: 10:30 AM - 12:00 PM 
Where: Barnett Elementary (11818 FM 1764 Santa Fe, TX) 
Details:  **Provided to all SFISD students who qualify for the federal meal program** The progra will begin to transition to home delieries starting Monday, March 30th. To apply click on the following link. http://www.schoolnutritionandfitness.com/index.php?sid=1008101556186406

 A packaged lunch and breakfast meal for the next morning wil be avalible for each student.",https://tx02215329.schoolwires.net/Page/3867
Savoy ISD,March 16 - April 3,"Curbside Meal Pickup
(Lunch)","***Normal Cafeteria Pricing Will Apply***
Start Date:3/16
When: Monday - Friday 11:00 AM - 1:00 PM
Where: Elementary School
Details: Drive thru and pick up in front of the elementary school",https://www.savoyisd.org/
Schertz-Cibolo-Universal City ISD,March 17-April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:30 AM – 1:00 PM 
Where:  SCUC ISD will continue its curbside meals for students at no cost. Remember, the eligible student or students must be present in the vehicle for the meal to be distributed to conform to Texas Department of Agriculture regulations.
",https://www.scuc.txed.net/site/Default.aspx?PageID=32581
Schleicher Co. ISD,March 16-17,,,https://www.scisdnet
Sealy ISD,March 16-April 10,Curbside Meals (Lunch Only),"Start Date: 3/17
When: 10:00 AM - 12:00 PM
Where: Selman Elementary
Details:  Enter through the drive-thru only original entrance, not the church street entrance. Pick up at Selman Elementary regardless of which campus the student attends ",https://www.sealyisd.com/c_o_v_i_d-19_coronavirus
Sheldon ISD,March 16 - April 10,Curbside Meals (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:00 AM - 9:00 AM & Lunch 11:00 AM - 1:00 PM
Where: Carroll Elementary, Royalwood Elementary, Sheldon Elementary, Null Middle School, and C. E. King Middle School
Details:  Students MUST be present when walking or driving up in order to receive their meals for accountin purposes ",https://www.sheldonisd.com/
Shepherd ISD,March 16-April 10,Curbside Meals (Breakfast & Lunch),"Start Date: 3/18
When: Breakfast 7:30 AM - 9:30 AM & Lunch 11:30 AM - 1:30 PM
Where: Shepherd High School Cafeteria via the door on the side of the High School facing the ball fields. 
Details:  Children 18 years and younger must be present. If anyone above the age of
18 would like to purchase a meal, the prices are as follows: Breakfast: $2.10 Lunch: $3.65",https://www.shepherdisd.net/apps/pages/index.jsp?uREC_ID=1693162&type=d&pREC_ID=1856571
Sherman ISD,March 16 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/18
When: Breakfast 8:00 AM - 10:00 AM; Lunch 12:00 PM - 2:00 PM
Where: Piner Middle School, Neblett Elementary 
Details: Although COVID-19 has halted school within Sherman ISD, it has not stopped the district from providing a nutritional breakfast and lunch for students. Today the district launched its free Grab and Go curbside meal food service program and served more than 1,050 meals to SISD students. The district will continue the curbside meal program all week and will make plans to expand the food site locations next week.",https://www.shermanisd.net/covid19
Smithville ISD,March 16-April 5,,,https://www.smithvilleisd.org/apps/pages/index.jsp?uREC_ID=186536&type=d&pREC_ID=1844358
Socorro ISD,March 22-April 4,Curbside Meal Pickup (Breakfast and Lunch),"Start Date: 3/24
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM
Where: All elementary, K-8, middle and high schools in the district
Details:. 
Meals will be provided for children who walk up to pick-up their meals or who are in the vehicles in the drive-through line. Meals will be provided for all children 18 years old or under in a household, regardless of where they reside or income qualifications.
",https://www.sisd.net/Page/65749
South San ISD,March 9-23rd,,,
Southwest ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:00 AM – 8:30 AM ; Lunch 11:00 AM – 1:00 PM 
Where:  Big Country ES, Bob Hope ES, Hidden Cove ES, Sky Harbour ES, Southwest ES.
Details: SWISD will be providing curbside meal service to students (18 or younger) who are present to pick up the meal. 
",http://www.swisd.net/cms/One.aspx?portalId=681437&pageId=14341974
Spring Branch ISD,March 16-April 10,Grab-N-Go Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
What: Breakfast & Lunch
When: Mon-Thur 8:00 AM - 11:00 AM
Where: Hollbrook Elementary, Tiger Trail PK Center, Bear Blvd PK Center, Lion Lane PK Center, Wildcat Way PK Center, Spring Forest Middle
Details:  On Mondays, Tuesdays and Wednesdays, one (1) full breakfast and one(1) full lunch meal will be provided per student, age 18 and under in the car*.
On Thursdays, two (2) full breakfasts and (2) full lunch meals will be provided per student, age 18 and under in the car*.
Meals will be distributed based on the number of students 18 and under in your car.
Meals will be offered cold to provide safe transport home.
Meal distribution hours are as noted, or until all meals have been distributed
Spring Branch ISD Grab and Go Meals are fully managed, produced and distributed by SBISD Child Nutrition Services staff.
*Families who do not have transportation may walk to a pick-up site and will be asked to stand in line while abiding by the six-foot social distancing asked of us all.
",https://www.springbranchisd.com/
Spring HIll ISD,March 16-27,,,https://www.shisd.net/apps/news/article/1167888
Spring ISD,March 16-April 10,Curbside Meals (Breakfast & Lunch) Evening Meals,"What: Breakfast & Lunch
When: 8:00 AM - 11:00 AM
Where: Anderson, Bammel Elementary, Booker, Clark Primary, Claughton, Hoyland, Meyer, McNabb, Ponderosa, Reynolds, Smith
What: Evening Meals
When: 5:00 PM - 7:00 PM
Where: Claughton Middle (3000 Spears Rd.), Smith Elementary (26000 Cypresswood Dr.)  Details:  Children must be present to recieve the meal. Look for the drive-through area at the front of the school.",
Stafford MSD,March 16-April 10,"Curbside Meals (Breakfast, Lunch, & Dinner)","Start Date: 3/16
When: Breakfast 8:00 AM - 9:00 AM, Lunch 10:30 AM - 12:30 PM, & Dinner 3:00 PM - 5:00 PM
Where: Stafford Elementary School 
Details:  Children must be present to receive meals. Questions conact Child Nutrition at (281) 261 - 9289",https://www.staffordmsd.org/student-life/news/smsd-curb-side-meal-service
Stockdale ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:30 AM – 1:00 PM 
Where:  Elementary Cafeteria
Details: We will be serving the meals at our Elementary Cafeteria as a grab and go through the parent pick-up line.
",http://www.stockdaleisd.org/vnews/display.v/ART/5e6e2c0680eda
Sulfrer Springs ISD,March 16-20,,,http://www.ssisd.net/
Sulfur Bluff ISD,March 16-20,,,https://www.sulphurbluffisd.net/20193?articleID=50328
Sweeny ISD,March 16-April10,Curbside Meals & Delievery,"Start Date: 3/16
When: Curbside: 11:30 AM - 1:00 PM & Delivery 11:30 AM - 1:00 PM
Where: Curbside: Sweeny Elementary from the cafeteria parking lot & Delivery: families need to meet staff outside
Insturction: Children must be present to recieve the meal, all meals include a breakfast for the following day ",https://www.facebook.com/SweenyISD/
Sweetwater ISD,pending,,,http://www.sweetwaterisd.net
Tarkington ISD,March 16-20,Unknown,,
Tatum ISD,March 16-20,,,https://drive.google.com/file/d/1D88m5JVhTuX-xBZPilu5m_JaRqPoqaQW/view
Taylor ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:00 AM – 12:30 PM 
Where:  Main Street Event Center (3101 North Main Street)
Details: Bagged meals will be provided free of charge for all children, ages 18 and under, during designated service times. Staff and volunteers will be available to hand you the meals, so please do not exit your vehicle. 
",https://www.taylorisd.org/apps/news/article/1185776
Teague ISD,March 23 - April 3,Curbside Meal Pickup ,Two sites open for drive through from 10:45AM to 12:00PM. Teague Elementary Car Pick Up Line and Teague High School Bus Lane. For students 2-18 years of age.,
Temple ISD,March 16-20,,,
Texas City ISD,March 16-April 10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/30
Texas City ISD Nutrition Services will be providing meals to TCISD students through a Curbside Pickup on Monday, March 30, 2020, from 8 a.m. to 11 a.m. at Texas City High School and La Marque High School. Each child in the car up to 18 years old will receive 5 breakfasts and 5 lunches for the week. Please note that the child must be in the car in order to receive the meals. Please note to help eliminate exposure, the walk-up location at College of the Mainland has been closed.",https://www.tcisd.org/departments/health-services/coronavirus-2020
Texas Serenity Academy School,March 16-April10,Unknown,,
Thrall ISD,March 16-20,Curbside Meal PIckup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:00 AM – 12:30 PM 
Where:  Enter off College Street
Details: TISD Staff and Volunteers will hand these meals to you in your vehicle, so no one needs to exit their vehicle.
",https://www.thrallisd.com/apps/news/article/1185663
Throckmorton Collegiate ,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast & Lunch 8:00 AM - 
Where:  Enter off College Street
Details: Meals will be picked up curbside in the alley. Parents and students are to remain in the car. Please enter off College St and exit behind the football field
",https://www.throck.org/
Tioga ISD,March 16 - April 3,Curbside Meal Pickup,"Start: 3/17
When: 5:00 PM - 6:00 PM
Where: High School
Details:If you are interested or in need of receiving meals for your students, we will be serving a “take-out” meal from 5:00PM-6:00PM each day from Tuesday, March 17 through Friday, March 20. This is open to any Tioga ISD student. We will serve as many meals as there are school age children in the household. In other words, 3 Tioga students would equal 3 “take-out” meals served to that family each day. All you have to do is come to the back door of the high school kitchen, located on the northeast side of the high school. We will be outside watching for you and serve the meals without you ever having to leave your car. We will reanalyze the need starting next week.",https://www.tiogaisd.net/vnews/display.v/ART/5e6ffc8d137bc?fbclid=IwAR1jitJkO6tkCml9fPsA90pQazo5BdyxHrChZoZO24eVvDqmCodfm8tISbQ
Tomball ISD,March 16 - April 10,Curbside Meal Pickup (Multiple Meals),"Start Date: 3/17
When: 8:00 AM - 11:00 AM Tuesdays & Wednesday
Where: Tomball High School
Details:  **Student's ID# mut be provided upon pick-up** If you do not know your student's ID#, we will assist you. One week supply will be provided, families are asked to come one of the two days. ",https://www.tomballisd.net/apps/pages/index.jsp?uREC_ID=307639&type=d&pREC_ID=1843043
Tornillo ISD,March 23-April 4,Pending,Child Nutrition Program will be in operation March 23rd – April 3rd (meal schedules and locations will be provided next week),https://www.tisd.us/
Trenton ISD,March 16 - April 3,"Curbside Meal Pickup
(Lunch and Breakfast for next day)","Start Date: 3/17
When: Tues - Fri, 12:00 PM - 1:00 PM
Where: Elementary School
Details:TISD Food Services will be offering a grab and go breakfast and lunch starting on Tuesday, March 17th from 12PM-1PM. Please fill out the Google Form (https://ly.trentonisd.org/grab-lunch) so that we can plan for the number of meals that we need to distribute. People will not be turned away if they do not fill out the form but it will help us serve everyone efficiently if we at least have an idea of how many sacks need to be prepared for the day. This form link will go out every day on ParentSquare around 10AM and should be filled out for the NEXT day.
We will be distributing one sack that will contain a lunch and breakfast for the next day. Please make sure that you request one sack per child that will be eating.
In an effort to control traffic during the pick-up time, we ask that you turn approach the elementary from School Street and turn right into the pick-up lane at the Elementary School. The idea is to have everyone approach the pick-up lane with the drivers-side of the vehicle facing the building (so we will not have to cross in front of traffic to hand out the sacks.
Thank you for your patience with this matter. This is uncharted territory for the school district as well so it is important that we are understanding during these times. If you have any questions regarding Food Services for the time-being, please contact me at tgruhn@trentonisd.org
",https://ly.trentonisd.org/grab-lunch
Trinity ISD,March 16-20,Curbside Meal Pickup (Multiple Meals),"Start Date: 3/17
When: Meal Pickup 10:30 AM – 12:30 PM  (Tuesday & Thursday)
Where:  Lansberry Elementary Bus Entrance
Details: Meals will be delivered to each car by an administrative staff member; with multiple meals being offered to students. This service will be offered from 10:30 to 12:30 on Tuesday and Thursday. For federal accountability purposes, please have each student receiving a meal present in the vehicle.
",
Troup ISD,March 16-20,Walk-Up Meal Pickup (Lunch Only),"Start Date: 3/17
When: Lunch: 11:00 AM – 12:30 PM  (Tuesday-Friday)
Where:  Elementary Campus
Details: The district will provide a pick-up lunch for ALL students free of charge.  This is a pick-up lunch only, students will not be allowed in the facilities to eat.   

",https://www.troupisd.org/apps/news/article/1184357
Troy ISD,Marhc 16-20,,,
Tyler ISD,March 16-20,Curbside Meal Pickup & Food Box,"Start Date: 3/16
When: Meal Pickup & Food Box Distribution: 11:00 AM – 1:00 PM 
Where:  Boulter Middle School, Caldwell Arts Academy, Griffin Elementary School, Hubbard, Moore, and Three Lakes Middle Schools
Details: As part of Tyler ISD’s curbside meal offering, the East Texas Food Bank (ETFB) will also be distributing free emergency food assistance boxes. ETFB staff and Mentoring Alliance volunteers will be on hand to distribute the boxes. Each household will receive a box of non-perishable food items and (pending availability) produce items. Children 18 and under must be present to receive meals. Any student age 18 or younger can participate and pick up meals at any feeding site, regardless of what school they attend.
",https://www.tylerisd.org/Page/33112
Union Grove ISD,March 16-27,,,https://www.ugisd.org/
Union Hill ISD,March 16-20,,,
Utopia ISD,March 16-20,,,https://www.utopiaisd.net/article/209763?org=utopia-isd
Uvalde ISD,March 17-20,Walk-In Meal Pickup (Meals for the Week),"Start Date: 3/17
When: Breakfast & Lunch 7:00 AM – 2:00 PM
Where:  Uvalde High School, Robb Elementary and Batesville Elementary
Details: We will continue to offer meals for our students. Meal packs will include breakfast and lunch meals for five days. Parents are encouraged to pick up meal packs on Tuesday, March 24th and Tuesday, March 31st from 7:00 am - 2:00 pm
",https://www.ucisd.net/
Valley Mills ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast & Lunch 11:00 AM – 12:00 PM
Where:  Elementary School 
Details: With Valley Mills ISD schools closed March 16-20 due to COVID-19 precautions, the district will provide meals for all VMISD students during the closure.
Meals will be served curbside. One lunch meal and one breakfast meal (for the next day) will be provided for each child in the vehicle. Meals will be available Tuesday through Friday. Parents are requested to remain in their car as they drive through to pick up meals. Please notify the district, if you are not able to pickup meals.
",https://www.facebook.com/theVME/photos/a.645536562249109/1808127029323384/?type=3&theater
